mol_index,bit_id,description
0,0,Bit 0: no substructure found
1,0,Bit 0: no substructure found
2,0,Bit 0: no substructure found
3,0,Bit 0: no substructure found
4,0,Bit 0: no substructure found
5,0,Bit 0: no substructure found
6,0,Bit 0: no substructure found
7,0,Bit 0: no substructure found
8,0,Bit 0: no substructure found
9,0,Bit 0: no substructure found
10,0,Bit 0: no substructure found
11,0,Bit 0: no substructure found
12,0,Bit 0: no substructure found
13,0,Bit 0: no substructure found
14,0,Bit 0: no substructure found
15,0,Bit 0: no substructure found
16,0,Bit 0: no substructure found
17,0,Bit 0: no substructure found
18,0,Bit 0: no substructure found
19,0,Bit 0: no substructure found
20,0,Bit 0: no substructure found
21,0,Bit 0: no substructure found
22,0,Bit 0: no substructure found
23,0,Bit 0: no substructure found
24,0,Bit 0: no substructure found
25,0,Bit 0: no substructure found
26,0,Bit 0: no substructure found
27,0,Bit 0: no substructure found
28,0,Bit 0: no substructure found
29,0,Bit 0: no substructure found
30,0,Bit 0: no substructure found
31,0,Bit 0: no substructure found
32,0,Bit 0: no substructure found
33,0,Bit 0: no substructure found
34,0,Bit 0: no substructure found
35,0,Bit 0: no substructure found
36,0,Bit 0: no substructure found
37,0,Bit 0: no substructure found
38,0,Bit 0: no substructure found
39,0,Bit 0: no substructure found
40,0,Bit 0: no substructure found
41,0,Bit 0: no substructure found
42,0,Bit 0: no substructure found
43,0,Bit 0: no substructure found
44,0,Bit 0: no substructure found
45,0,Bit 0: no substructure found
46,0,Bit 0: no substructure found
47,0,Bit 0: no substructure found
48,0,Bit 0: no substructure found
49,0,Bit 0: no substructure found
50,0,Bit 0: no substructure found
51,0,Bit 0: no substructure found
52,0,Bit 0: no substructure found
53,0,Bit 0: no substructure found
54,0,Bit 0: no substructure found
55,0,Bit 0: no substructure found
56,0,Bit 0: no substructure found
57,0,Bit 0: no substructure found
58,0,Bit 0: no substructure found
59,0,Bit 0: no substructure found
60,0,Bit 0: no substructure found
61,0,Bit 0: no substructure found
62,0,Bit 0: no substructure found
63,0,Bit 0: no substructure found
64,0,Bit 0: no substructure found
65,0,Bit 0: no substructure found
66,0,Bit 0: no substructure found
67,0,Bit 0: no substructure found
68,0,Bit 0: no substructure found
69,0,Bit 0: no substructure found
70,0,Bit 0: no substructure found
71,0,Bit 0: no substructure found
72,0,Bit 0: no substructure found
73,0,Bit 0: no substructure found
