bit_id,functional_group,count
3,ketone,7
3,amide,7
5,halide,4
5,ketone,2
5,amide,2
8,ketone,1
8,amide,1
10,ketone,10
10,amide,10
11,thioether,2
15,ketone,1
16,ether,2
16,amide,2
16,ester,2
16,carbamate,2
16,amine,2
16,ketone,2
17,amide,2
17,ketone,1
19,ketone,3
20,thioether,1
23,carboxylic acid,1
23,hydroxyl,1
23,ketone,1
24,ketone,1
24,amide,1
28,ketone,1
28,amide,1
29,alkene,3
29,ketone,1
29,ether,1
29,ester,1
31,alkene,5
31,thioether,1
31,hydroxyl,1
32,thioether,2
34,amine,2
39,ketone,1
39,ether,1
39,alkene,1
39,ester,1
39,halide,1
41,ketone,59
41,amide,59
45,ketone,2
45,amide,2
45,thioether,2
46,halide,21
47,ketone,4
49,ketone,4
